
미세먼지농도
[검색조건]
지점명 : 서울, 자료구분:시간자료 , 기간 : 20180101 00 ~ 20190101 00

지점번호,지점명,일자,미세먼지농도(㎍/㎥)
108,서울,2018-01-24 23,26
108,서울,2018-01-25 00,20
108,서울,2018-01-25 01,24
108,서울,2018-01-25 02,23
108,서울,2018-01-25 03,27
108,서울,2018-01-25 04,27
108,서울,2018-01-25 05,29
108,서울,2018-01-25 06,20
108,서울,2018-01-25 07,21
108,서울,2018-01-25 08,22
108,서울,2018-01-25 09,25
108,서울,2018-01-25 10,22
108,서울,2018-01-25 11,28
108,서울,2018-01-25 12,36
108,서울,2018-01-25 13,32
108,서울,2018-01-25 14,24
108,서울,2018-01-25 15,24
108,서울,2018-01-25 16,27
108,서울,2018-01-25 17,24
108,서울,2018-01-25 18,18
108,서울,2018-01-25 19,12
108,서울,2018-01-25 20,13
108,서울,2018-01-25 21,15
108,서울,2018-01-25 22,19
108,서울,2018-01-25 23,27
108,서울,2018-01-26 00,25
108,서울,2018-01-26 01,20
108,서울,2018-01-26 02,24
108,서울,2018-01-26 03,23
108,서울,2018-01-26 04,23
108,서울,2018-01-26 05,21
108,서울,2018-01-26 06,22
108,서울,2018-01-26 07,25
108,서울,2018-01-26 08,22
108,서울,2018-01-26 09,26
108,서울,2018-01-26 10,27
108,서울,2018-01-26 11,34
108,서울,2018-01-26 12,39
108,서울,2018-01-26 13,49
108,서울,2018-01-26 14,39
108,서울,2018-01-26 15,34
108,서울,2018-01-26 16,41
108,서울,2018-01-26 17,43
108,서울,2018-01-26 18,42
108,서울,2018-01-26 19,28
108,서울,2018-01-26 20,23
108,서울,2018-01-26 21,29
108,서울,2018-01-26 22,25
108,서울,2018-01-26 23,
108,서울,2018-01-27 00,38
108,서울,2018-01-27 01,35
108,서울,2018-01-27 02,37
108,서울,2018-01-27 03,39
108,서울,2018-01-27 04,36
108,서울,2018-01-27 05,40
108,서울,2018-01-27 06,29
108,서울,2018-01-27 07,38
108,서울,2018-01-27 08,40
108,서울,2018-01-27 09,44
108,서울,2018-01-27 10,48
108,서울,2018-01-27 11,54
108,서울,2018-01-27 12,67
108,서울,2018-01-27 13,67
108,서울,2018-01-27 14,42
108,서울,2018-01-27 15,51
108,서울,2018-01-27 16,52
108,서울,2018-01-27 17,39
108,서울,2018-01-27 18,43
108,서울,2018-01-27 19,16
108,서울,2018-01-27 20,10
108,서울,2018-01-27 21,21
108,서울,2018-01-27 22,18
108,서울,2018-01-27 23,28
108,서울,2018-01-28 00,27
108,서울,2018-01-28 01,34
108,서울,2018-01-28 02,32
108,서울,2018-01-28 03,37
108,서울,2018-01-28 04,37
108,서울,2018-01-28 05,34
108,서울,2018-01-28 06,24
108,서울,2018-01-28 07,28
108,서울,2018-01-28 08,24
108,서울,2018-01-28 09,25
108,서울,2018-01-28 10,23
108,서울,2018-01-28 11,45
108,서울,2018-01-28 12,46
108,서울,2018-01-28 13,36
108,서울,2018-01-28 14,22
108,서울,2018-01-28 15,21
108,서울,2018-01-28 16,19
108,서울,2018-01-28 17,18
108,서울,2018-01-28 18,15
108,서울,2018-01-28 19,10
108,서울,2018-01-28 20,12
108,서울,2018-01-28 21,13
108,서울,2018-01-28 22,21
108,서울,2018-01-28 23,19
108,서울,2018-01-29 00,28
108,서울,2018-01-29 01,33
108,서울,2018-01-29 02,33
108,서울,2018-01-29 03,33
108,서울,2018-01-29 04,33
108,서울,2018-01-29 05,36
108,서울,2018-01-29 06,27
108,서울,2018-01-29 07,29
108,서울,2018-01-29 08,31
108,서울,2018-01-29 09,31
108,서울,2018-01-29 10,42
108,서울,2018-01-29 11,59
108,서울,2018-01-29 12,74
108,서울,2018-01-29 13,61
108,서울,2018-01-29 14,38
108,서울,2018-01-29 15,50
108,서울,2018-01-29 16,64
